Gerrit Badenhorst           9 ZAF
Gerhard van Staden          6 ZAF
Frankie Scheun              3 ZAF
Pieter de Bruyn             3 ZAF
Johan Els                   3 ZAF
Wayne Price                 3 ZAF
Ettiene Smit                2 ZAF
Anton Boucher               2 NAM
Pius Ochieng                1 KEN
Johan van Heerden           1 ZAF
Hennie Jordaan              1 ZAF
Chris van der Linde         1 ZAF
Malone Horn                 1 ZAF
Nigel Moss                  1 ZAF
Jaco Schoonwinkel           1 ZAF
Chris Okonkwo               1 NGA
Oluwatofunmi Fadesire       1 NGA
