Winners:

- ---

Finalists:

Gerrit Badenhorst       2nd in Finals ZAF
Pieter de Bruyn         5th in Finals ZAF
Johan Els               6th in Finals ZAF
Chris Okonkwo           6th in Finals NGA
Anton Boucher           6th in Finals NAM
Wayne Price             8th in Finals ZAF
Pius Ochieng            8th in Finals KEN
Jaco Schoonwinkel       10th in Finals ZAF

Never got out of the Group:

Ettiene Smit            4th in Heats ZAF
Gerhard van Staden      4th in Heats ZAF
Hennie Jordaan          5th in Heats ZAF
Johan van Heerden       5th in Heats ZAF
Chris van der Linde     5th in Heats ZAF
Evans Nana Aryee        5th in Heats GHA
Oluwatofunmi Fadesire   6th in Heats NGA
Frankie Scheun          6th in Heats ZAF
Nigel Moss              6th in Heats ZAF
Malone Horn             6th in Heats ZAF
