Mark Felix                  16 GBR
Terry Hollands              15 GBR
Žydrūnas Savickas           14 LTU
Magnus Samuelsson           13 SWE
Laurence Shahlaei           11 GBR
Mariusz Pudzianowski        9 POL
Janne Virtanen              9 FIN
Hafthór Júlíus Björnsson    9 ISL
Adam Bishop                 9 GBR
Luke Stoltman               9 GBR
Heinz Ollesch               8 DEU
Jarosław Dymek              8 POL
Svend Karlsen               8 NOR
Mikhail Shivlyakov          7 RUS
László Fekete               7 HUN
Konstantine Janashia        7 GEO
Raimonds Bergmanis          7 LVA
Jón Páll Sigmarsson         7 ISL
Magnús Ver Magnússon        7 ISL
Geoff Capes                 7 GBR
Graham Hicks                7 GBR
Tom Stoltman                7 GBR
Aivars Šmaukstelis          7 LVA
Eddie Hall                  6 GBR
Berend Veneberg             6 NLD
Martin Wildauer             5 AUT
Mateusz Kieliszkowski       5 POL
Krzysztof Radzikowski       5 POL
Oleksii Novikov             5 UKR
Rene Minkwitz               5 DNK
Flemming Rasmussen          5 DNK
Regin Vágadal               5 DNK [FRO]
Ilkka Nummisto              5 FIN
Riku Kiri                   5 FIN
Torfi Ólafsson              5 ISL
Stefán Sölvi Pétursson      5 ISL
Johannes Årsjö              5 SWE
Gary Taylor                 5 GBR
Glenn Ross                  5 GBR
Gavin Bilton                5 GBR
Adrian Rollinson            4 GBR
Darren Sadler               4 GBR
Grzegorz Szymański          4 POL
Sebastian Wenta             4 POL
Matjaž Belšak               4 SVN
Lauri Nämi                  4 EST
Tarmo Mitt                  4 EST
Raivis Vidzis               4 LVA
Vytautas Lalas              4 LTU
Elbrus Nigmatullin          4 RUS
Eythór Ingólfsson Melsted   4 ISL
Richard Skog                4 NOR
Ervin Katona                4 SRB
Ab Wolders                  4 NLD
Ted van der Parre           3 NLD
Odd Haugen                  3 NOR
Boris Haraldsson            3 ISL
Mikhail Koklyaev            3 RUS
Mateusz Baron               3 POL
Manfred Höberl              3 AUT
Ralf Ber                    3 AUT
Florian Trimpl              3 DEU
Martin Muhr                 3 DEU
Ákos Nagy                   3 HUN
Henning Thorsen             3 DNK
Jouko Ahola                 3 FIN
Lars Hedlund                3 SWE
Torbjörn Samuelsson         3 SWE
Johnny Hansson              3 SWE
Dimitar Savatinov           3 BGR
Evgeny Popov                3 BGR
Jean-Pierre Brulois         3 FRA
Jamie Reeves                3 GBR
Brian Bell                  3 GBR
Jimmy Marku                 3 GBR
Bill Pittuck                3 GBR
Forbes Cowan                3 GBR
Rauno Heinla                3 EST
Pa O'Dwyer                  3 IRL
Pavlo Kordiyaka             3 UKR
Stoyan Todorchev            2 BGR
Rudolf Küster               2 DEU
Bernd Kerschbaumer          2 AUT
