Mark Felix                  10 GBR
Terry Hollands              9 GBR
Magnus Samuelsson           9 SWE
Mariusz Pudzianowski        8 POL
Hafthór Júlíus Björnsson    8 ISL
Luke Stoltman               8 GBR
Laurence Shahlaei           6 GBR
Geoff Capes                 6 GBR
Jón Páll Sigmarsson         6 ISL
Magnús Ver Magnússon        6 ISL
Žydrūnas Savickas           6 LTU
Adam Bishop                 6 GBR
Aivars Šmaukstelis          6 LVA
Svend Karlsen               5 NOR
Eddie Hall                  5 GBR
Tom Stoltman                5 GBR
Gary Taylor                 4 GBR
Berend Veneberg             4 NLD
Jarosław Dymek              4 POL
Oleksii Novikov             4 UKR
Heinz Ollesch               4 DEU
Mikhail Shivlyakov          4 RUS
Janne Virtanen              4 FIN
Stefán Sölvi Pétursson      4 ISL
Gavin Bilton                4 GBR
Ervin Katona                3 SRB
Richard Skog                3 NOR
Torfi Ólafsson              3 ISL
Eythór Ingólfsson Melsted   3 ISL
Ilkka Nummisto              3 FIN
Konstantine Janashia        3 GEO
Matjaž Belšak               3 SVN
Martin Wildauer             3 AUT
Mateusz Kieliszkowski       3 POL
Sebastian Wenta             3 POL
Tarmo Mitt                  3 EST
Raimonds Bergmanis          3 LVA
Raivis Vidzis               3 LVA
Vytautas Lalas              3 LTU
Elbrus Nigmatullin          3 RUS
Flemming Rasmussen          3 DNK
Glenn Ross                  3 GBR
Jimmy Marku                 2 GBR
Forbes Cowan                2 GBR
Graham Hicks                2 GBR
Mikhail Koklyaev            2 RUS
Lauri Nämi                  2 EST
Manfred Höberl              2 AUT
Florian Trimpl              2 DEU
László Fekete               2 HUN
Grzegorz Szymański          2 POL
Krzysztof Radzikowski       2 POL
Rene Minkwitz               2 DNK
Regin Vágadal               2 DNK [FRO]
Henning Thorsen             2 DNK
Riku Kiri                   2 FIN
Jouko Ahola                 2 FIN
Boris Haraldsson            2 ISL
Lars Hedlund                2 SWE
Torbjörn Samuelsson         2 SWE
Evgeny Popov                2 BGR
Jean-Pierre Brulois         2 FRA
Ab Wolders                  2 NLD
Pavlo Kordiyaka             2 UKR
Pa O'Dwyer                  1 IRL     
Rauno Heinla                1 EST
Ted van der Parre           1 NLD
Jarno Hams                  1 NLD
Alex Moonen                 1 NLD
Jean-Stephen Coraboeuf      1 FRA
Dimitar Savatinov           1 BGR
Jón Valgeir Williams        1 ISL
Ari Gunnarsson              1 ISL
Juha-Matti Räsänen          1 FIN
Mikkel Leicht               1 DNK
Henrik Ravn                 1 DNK
Mateusz Baron               1 POL
Rafał Kobylarz              1 POL
Sławomir Toczek             1 POL
Ákos Nagy                   1 HUN
Martin Muhr                 1 DEU
Ervin Toots                 1 EST
Agris Kazeļņiks             1 LVA
Stasys Mėčius               1 LTU
Vasyl Virastyuk             1 UKR
Kostiantyn Ilin             1 UKR
Sergii Romanchuk            1 UKR
Odd Haugen                  1 NOR
Arild Haugen                1 NOR
Bjørn Andre Solvang         1 NOR
Johannes Årsjö              1 SWE
Adrian Rollinson            1 GBR
Darren Sadler               1 GBR
Jamie Reeves                1 GBR
Brian Bell                  1 GBR
Bill Pittuck                1 GBR
Marc Iliffe                 1 GBR
Rob Dixon                   1 GBR
Luke Richardson             1 GBR
Jack McIntosh               1 GBR
Rob Frampton                1 GBR
Lee Bowers                  1 GBR
Russ Bradley                1 GBR
Jamie Barr                  1 GBR
