Terry Hollands              8 GBR
Hafthór Júlíus Björnsson    8 ISL
Mariusz Pudzianowski        8 POL
Magnus Samuelsson           7 SWE
Geoff Capes                 6 GBR
Jón Páll Sigmarsson         6 ISL
Žydrūnas Savickas           6 LTU
Magnús Ver Magnússon        5 ISL
Svend Karlsen               5 NOR
Tom Stoltman                4 GBR
Eddie Hall                  3 GBR
Ilkka Nummisto              3 FIN
Konstantine Janashia        3 GEO
Tarmo Mitt                  3 EST
Mateusz Kieliszkowski       3 POL
Jarosław Dymek              2 POL
Sebastian Wenta             2 POL
Raimonds Bergmanis          2 LVA
Vytautas Lalas              2 LTU
Gary Taylor                 2 GBR
Luke Stoltman               2 GBR
Adam Bishop                 2 GBR
Flemming Rasmussen          2 DNK
Henning Thorsen             2 DNK
Ab Wolders                  2 NLD
Jean-Pierre Brulois         2 FRA
Ervin Katona                2 SRB
Lars Hedlund                2 SWE
Torfi Ólafsson              2 ISL
Janne Virtanen              2 FIN
Riku Kiri                   2 FIN
Jouko Ahola                 2 FIN
Manfred Höberl              2 AUT
Oleksii Novikov             1 UKR
Vasyl Virastyuk             1 UKR
Juha-Matti Räsänen          1 FIN
Stefán Sölvi Pétursson      1 ISL
Eythór Ingólfsson Melsted   1 ISL
Johannes Årsjö              1 SWE
Ted van der Parre           1 NLD
Berend Veneberg             1 NLD
Jamie Reeves                1 GBR
Laurence Shahlaei           1 GBR
László Fekete               1 HUN
Martin Muhr                 1 DEU
