Žydrūnas Savickas           12 LTU
Magnus Samuelsson           10 SWE
Terry Hollands              9 GBR
Hafthór Júlíus Björnsson    9 ISL
Mariusz Pudzianowski        9 POL
Jón Páll Sigmarsson         7 ISL
Magnús Ver Magnússon        7 ISL
Geoff Capes                 7 GBR
Svend Karlsen               7 NOR
Tom Stoltman                6 GBR
Laurence Shahlaei           5 GBR
Ilkka Nummisto              5 FIN
Raimonds Bergmanis          5 LVA
Konstantine Janashia        5 GEO
Jarosław Dymek              5 POL
Luke Stoltman               5 GBR
László Fekete               4 HUN
Janne Virtanen              4 FIN
Riku Kiri                   4 FIN
Eddie Hall                  4 GBR
Gary Taylor                 4 GBR
Ab Wolders                  4 NLD
Tarmo Mitt                  4 EST
Mateusz Kieliszkowski       4 POL
Sebastian Wenta             3 POL
Vytautas Lalas              3 LTU
Ervin Katona                3 SRB
Jean-Pierre Brulois         3 FRA
Ted van der Parre           3 NLD
Berend Veneberg             3 NLD
Adam Bishop                 3 GBR
Jamie Reeves                3 GBR
Lars Hedlund                3 SWE
Torfi Ólafsson              3 ISL
Jouko Ahola                 3 FIN
Flemming Rasmussen          3 DNK
Henning Thorsen             3 DNK
Oleksii Novikov             3 UKR
Manfred Höberl              3 AUT
Stefán Sölvi Pétursson      2 ISL
Eythór Ingólfsson Melsted   2 ISL
Forbes Cowan                2 GBR
Mark Felix                  2 GBR
Wout Zijlstra               2 NLD
Johannes Årsjö              2 SWE
Juha-Matti Räsänen          2 FIN
Regin Vágadal               2 DNK [FRO]
Vasyl Virastyuk             2 UKR
Mikhail Koklyaev            2 RUS
Matjaž Belšak               2 SVN
Heinz Ollesch               2 DEU
Martin Muhr                 2 DEU
Rudolf Küster               2 DEU
Pavlo Kordiyaka             2 UKR
Aivars Šmaukstelis          2 LVA
Martin Wildauer             1 AUT
Ralf Ber                    1 AUT
Klaus Wallas                1 AUT
Aap Uspenski                1 EST
Raivis Vidzis               1 LVA
Mikhail Shivlyakov          1 RUS
Elbrus Nigmatullin          1 RUS
Henrik Ravn                 1 DNK
Rene Minkwitz               1 DNK
Marko Varalahti             1 FIN
Jorma Ojanaho               1 FIN
Markku Suonenvirta          1 FIN
Roger Ekström               1 FIN
Ilkka Kinnunen              1 FIN
Arild Haugen                1 NOR
Yngve Gustavsson            1 SWE
Franco Columbu              1 ITA
Dimitar Savatinov           1 BGR
Graham Hicks                1 GBR
Rob Dixon                   1 GBR
Luke Richardson             1 GBR
Jamie Barr                  1 GBR
Gregor Edmunds              1 GBR
Andrew Raynes               1 GBR
Bill Anderson               1 GBR
Adrian Smith                1 GBR
Cees de Vreugd              1 NLD
Siem Wulfse                 1 NLD
Tjalling van den Bosch      1 NLD
Stago Piczko                1 NLD
Gerard du Prie              1 NLD
Krzysztof Radzikowski       1 POL
Grzegorz Szymański          1 POL
Ivan Putski                 1 POL
Sławomir Toczek             1 POL
