Mark Felix                  16 GBR
Terry Hollands              15 GBR
Žydrūnas Savickas           14 LTU
Magnus Samuelsson           13 SWE
Laurence Shahlaei           11 GBR
Hafthór Júlíus Björnsson    9 ISL
Janne Virtanen              9 FIN
Mariusz Pudzianowski        9 POL
Jarosław Dymek              8 POL
Adam Bishop                 8 GBR
Luke Stoltman               8 GBR
Svend Karlsen               8 NOR
Heinz Ollesch               8 DEU
Graham Hicks                7 GBR
Mikhail Shivlyakov          7 RUS
Raimonds Bergmanis          7 LVA
Konstantine Janashia        7 GEO
Aivars Šmaukstelis          6 LVA
Eddie Hall                  6 GBR
Tom Stoltman                6 GBR
Oleksii Novikov             5 UKR
Berend Veneberg             5 NLD
Glenn Ross                  5 GBR
Johannes Årsjö              5 SWE
Torfi Ólafsson              5 ISL
Stefán Sölvi Pétursson      5 ISL
Rene Minkwitz               5 DNK
Flemming Rasmussen          5 DNK
Regin Vágadal               5 DNK [FRO]
Mateusz Kieliszkowski       5 POL
Krzysztof Radzikowski       5 POL
Martin Wildauer             5 AUT
Magnús Ver Magnússon        4 ISL
Raivis Vidzis               4 LVA
Adrian Rollinson            4 GBR
Gavin Bilton                4 GBR
Darren Sadler               4 GBR
Ervin Katona                4 SRB
Richard Skog                4 NOR
Eythór Ingólfsson Melsted   4 ISL
Riku Kiri                   4 FIN
Elbrus Nigmatullin          4 RUS
Vytautas Lalas              4 LTU
Lauri Nämi                  4 EST
Tarmo Mitt                  4 EST
Matjaž Belšak               4 SVN
Grzegorz Szymański          4 POL
Sebastian Wenta             4 POL
László Fekete               4 HUN
Ákos Nagy                   3 HUN
Mateusz Baron               3 POL
Mikhail Koklyaev            3 RUS
Jouko Ahola                 3 FIN
Odd Haugen                  3 NOR
Brian Bell                  3 GBR
Jimmy Marku                 3 GBR
Bill Pittuck                3 GBR
Forbes Cowan                3 GBR
Dimitar Savatinov           3 BGR
Torbjörn Samuelsson         3 SWE
Johnny Hansson              3 SWE
Evgeny Popov                3 BGR
Boris Haraldsson            3 ISL
Florian Trimpl              3 DEU
Martin Muhr                 3 DEU
Ralf Ber                    3 AUT
Stoyan Todorchev            2 BGR
Marc Iliffe                 2 GBR
Rob Dixon                   2 GBR
Paul Smith                  2 GBR
Luke Richardson             2 GBR
Mark Westaby                2 GBR
Jack McIntosh               2 GBR
Mick Gosling                2 GBR
Rob Frampton                2 GBR
Lee Bowers                  2 GBR
Russ Bradley                2 GBR
Jamie Barr                  2 GBR
Stuart Murray               2 GBR
Gary Taylor                 2 GBR
Wout Zijlstra               2 NLD
Jarno Hams                  2 NLD
Peter Baltus                2 NLD
Alex Moonen                 2 NLD
Pa O'Dwyer                  2 IRL
