Žydrūnas Savickas           160 LTU
Magnus Samuelsson           143 SWE
Terry Hollands              141 GBR
Mariusz Pudzianowski        123 POL
Hafthór Júlíus Björnsson    103 ISL
Mark Felix                  100 GBR
Svend Karlsen               96 NOR
Laurence Shahlaei           86 GBR
Jarosław Dymek              83 POL
Raimonds Bergmanis          81 LVA
Luke Stoltman               79 GBR
Tom Stoltman                70 GBR
Janne Virtanen              77 FIN
Adam Bishop                 67 GBR
Magnús Ver Magnússon        64 ISL
Geoff Capes                 63 GBR
Konstantine Janashia        63 GEO
Eddie Hall                  59 GBR
Jón Páll Sigmarsson         56 ISL
Aivars Šmaukstelis          50 LVA
Mateusz Kieliszkowski       49 POL
László Fekete               46 HUN
Tarmo Mitt                  46 EST
Heinz Ollesch               46 DEU
Riku Kiri                   44 FIN
Flemming Rasmussen          44 DNK
Mikhail Shivlyakov          44 RUS
Vytautas Lalas              42 LTU
Stefán Sölvi Pétursson      42 ISl
Oleksii Novikov             42 UKR
Regin Vágadal               41 DNK [FRO]
Sebastian Wenta             41 POL
Ilkka Nummisto              40 FIN
Torfi Ólafsson              40 ISL 
Gary Taylor                 40 GBR
Johannes Årsjö              40 SWE
Berend Veneberg             39 NLD
Graham Hicks                37 GBR
Jouko Ahola                 37 FIN
Martin Wildauer             36 AUT
Matjaž Belšak               36 SVN
Rene Minkwitz               36 DNK
Ervin Katona                36 SRB
Krzysztof Radzikowski       35 POL
Eythór Ingólfsson Melsted   33 ISL
Vasyl Virastyuk             32 UKR
Lars Hedlund                31 SWE
Elbrus Nigmatullin          31 RUS
Raivis Vidzis               31 LVA
Martin Muhr                 30 DEU
Grzegorz Szymański          29 POL
Pavlo Kordiyaka             29 UKR
Adrian Rollinson            29 GBR
Glenn Ross                  28 GBR
Forbes Cowan                28 GBR
Manfred Höberl              28 AUT
Mikhail Koklyaev            25 RUS
Juha-Matti Räsänen          25 FIN
Wout Zijlstra               25 NLD
Henning Thorsen             24 DNK
Richard Skog                24 NOR
Jamie Reeves                24 GBR
Ab Wolders                  24 NLD
Jean-Pierre Brulois         24 FRA
Lauri Nämi                  24 EST
Ralf Ber                    23 AUT
Gavin Bilton                23 GBR
Ted van der Parre           22 NLD
Dimitar Savatinov           22 BGR
Darren Sadler               19 GBR
Arild Haugen                19 NOR
Sławomir Toczek             19 POL
Florian Trimpl              18 DEU
Jimmy Marku                 18 GBR
Ákos Nagy                   18 HUN
Torbjörn Samuelsson         18 SWE
Andrus Murumets             17 EST
Jamie Barr                  17 GBR
Boris Haraldsson            17 ISL
Rauno Heinla                17 EST
Rudolf Küster               16 DEU
Odd Haugen                  16 NOR
Johnny Hansson              16 SWE
Mateusz Baron               15 POL
Bill Pittuck                14 GBR
Brian Bell                  14 GBR
Rob Dixon                   14 GBR
Pa O'Dwyer                  14 IRL
Gregor Edmunds              13 GBR
Bernd Kerschbaumer          12 AUT
Agris Kazeļņiks             12 LVA
Dainis Zageris              12 LVA
Vidas Blekaitis             12 LTU
Kostiantyn Ilin             12 UKR
Sergii Romanchuk            12 UKR
Bjørn Andre Solvang         12 NOR
Ole Martin Hansen           12 NOR
Rob Frampton                12 GBR
Andrew Raynes               12 GBR
Luke Richardson             12 GBR
Mark Westaby                12 GBR
Jack McIntosh               12 GBR
Jarno Hams                  12 NLD
Peter Baltus                12 NLD
Alex Moonen                 12 NLD
Israel Garrido              12 ESP
Evgeny Popov                12 BGR
Stoyan Todorchev            12 BGR
Jón Valgeir Williams        12 ISL
Ari Gunnarsson              12 ISL
Juha-Matti Järvi            12 FIN
Jorma Ojanaho               12 FIN
Marko Varalahti             12 FIN
Alexander Klyushev          12 RUS
Rafał Kobylarz              12 POL
Tomi Lotta                  11 FIN
Brian Turner                11 GBR
Stago Piczko                11 NLD
Mikkel Leicht               11 DNK
Ivan Putski                 10 POL
Henrik Ravn                 10 DNK
Gerard du Prie              10 NLD
Marc Iliffe                 10 GBR
Paul Smith                  10 GBR
Mick Gosling                10 GBR
Lee Bowers                  10 GBR
Bill Anderson               10 GBR
Jean-Stephen Coraboeuf      10 FRA
Franco Columbu              9 ITA
Russ Bradley                8 GBR
Siem Wulfse                 8 NLD
Cees de Vreugd              8 NLD
Tjalling van den Bosch      8 NLD
Yngve Gustavsson            8 SWE
Ilkka Kinnunen              8 FIN
Markku Suonenvirta          8 FIN
Roger Ekström               8 FIN
Vladimir Turchinsky         8 RUS
Stasys Mėčius               8 LTU
Aap Uspenski                8 EST
