Mark Felix                  87 GBR
Žydrūnas Savickas           86 LTU
Terry Hollands              84 GBR
Magnus Samuelsson           73 SWE
Laurence Shahlaei           60 GBR
Mariusz Pudzianowski        59 POL
Hafthór Júlíus Björnsson    50 ISL
Janne Virtanen              49 FIN
Svend Karlsen               49 NOR
Jarosław Dymek              48 POL
Adam Bishop                 45 GBR
Luke Stoltman               44 GBR
Raimonds Bergmanis          43 LVA
Mikhail Shivlyakov          38 RUS
Konstantine Janashia        37 GEO
Graham Hicks                36 GBR
Rene Minkwitz               35 DNK
Eddie Hall                  35 GBR
Aivars Šmaukstelis          32 LVA
Stefán Sölvi Pétursson      30 ISL
Tom Stoltman                30 GBR
Heinz Ollesch               30 DEU
Martin Wildauer             30 AUT
Krzysztof Radzikowski       29 POL
Adrian Rollinson            29 GBR
Johannes Årsjö              28 SWE
Glenn Ross                  28 GBR
Regin Vágadal               26 DNK [FRO]
Mateusz Kieliszkowski       26 POL
Vytautas Lalas              24 LTU
Raivis Vidzis               24 LVA
Flemming Rasmussen          24 DNK
Elbrus Nigmatullin          24 RUS
Richard Skog                24 NOR
Ervin Katona                24 SRB
Oleksii Novikov             24 UKR
Tarmo Mitt                  24 EST
Lauri Nämi                  24 EST
Matjaž Belšak               24 SVN
Grzegorz Szymański          23 POL
Torfi Ólafsson              21 ISL
Eythór Ingólfsson Melsted   21 ISL
Berend Veneberg             21 NLD
Sebastian Wenta             20 POL
Gavin Bilton                20 GBR
Darren Sadler               19 GBR
Jimmy Marku                 18 GBR
Torbjörn Samuelsson         18 SWE
Mikhail Koklyaev            18 RUS
Ákos Nagy                   18 HUN
Florian Trimpl              18 DEU
Andrus Murumets             17 EST
Vasyl Virastyuk             17 UKR
Boris Haraldsson            17 ISL
Ralf Ber                    16 AUT
Martin Muhr                 16 DEU
Magnús Ver Magnússon        16 ISL
Odd Haugen                  16 NOR
Dimitar Savatinov           16 BGR
Johnny Hansson              16 SWE
Riku Kiri                   16 FIN
László Fekete               15 HUN
Mateusz Baron               15 POL
Jouko Ahola                 14 FIN
Brian Bell                  14 GBR
Bill Pittuck                14 GBR
Bernd Kerschbaumer          12 AUT
Rauno Heinla                12 EST
Agris Kazeļņiks             12 LVA
Dainis Zageris              12 LVA
Vidas Blekaitis             12 LTU
Jón Valgeir Williams        12 ISL
Ari Gunnarsson              12 ISL
Evgeny Popov                12 BGR
Stoyan Todorchev            12 BGR
Forbes Cowan                12 GBR
Rob Dixon                   12 GBR
Mark Westaby                12 GBR
Jack McIntosh               12 GBR
Rob Frampton                12 GBR
Jarno Hams                  12 NLD
Peter Baltus                12 NLD
Alex Moonen                 12 NLD
Israel Garrido              12 ESP
Arild Haugen                12 NOR
Bjørn Andre Solvang         12 NOR
Ole Martin Hansen           12 NOR
Juha-Matti Räsänen          12 FIN
Juha-Matti Järvi            12 FIN
Kostiantyn Ilin             12 UKR
Sergii Romanchuk            12 UKR
Alexander Klyushev          12 RUS
Sławomir Toczek             12 POL
Rafał Kobylarz              12 POL
Pavlo Kordiyaka             11 UKR
Tomi Lotta                  11 FIN
Brian Turner                11 GBR
Mikkel Leicht               11 DNK
Wout Zijlstra               10 NLD
Paul Smith                  10 GBR
Marc Iliffe                 10 GBR
Mick Gosling                10 GBR
Lee Bowers                  10 GBR
Jamie Barr                  10 GBR
Jean-Stephen Coraboeuf      10 FRA
Pa O'Dwyer                  9 IRL
Stasys Mėčius               8 LTU
Russ Bradley                8 GBR
Gary Taylor                 8 GBR
Vladimir Turchinsky         8 RUS
Ervin Toots                 7 EST
Franz Müllner               6 AUT
Hubert Dörer                6 AUT
Tibor Mészáros              6 HUN
Marius Lalas                6 LTU
Igor Pedan                  6 RUS
Alexander Lysenko           6 RUS
Paul Pîrjol                 6 ROU
Luke Richardson             6 GBR
Charlie Gough               6 GBR
Graham Mullins              6 GBR
Andrew Raynes               6 GBR
Brian Irwin                 6 GBR
Carl Broomfield             6 GBR
David Warner                6 GBR
Oliver Thompson             6 GBR
Ben Kelsey                  6 GBR
Chris Gearing               6 GBR
Lloyd Renals                6 GBR
Steve Brooks                6 GBR
Gregor Edmunds              6 GBR
James Fennelly              6 IRL
Jimmy Laureys               6 BEL
Alex Curletto               6 ITA
David Nyström               6 SWE
Jorma Paananen              6 SWE
Espen Aune                  6 NOR
Jon Olav Granli             6 NOR
Øyvind Rein                 6 NOR
Mykhailo Starov             6 UKR
Igor Werner                 6 DEU
Tobias Ide                  6 DEU
Andreas Hoffmann            6 DEU
Janusz Kułaga               6 POL
Sebastian Kurek             6 POL
Nedžmin Ambešković          5 BIH
Andy Black                  5 GBR
Richard Gosling             5 GBR
Kelvin de Ruiter            5 NLD
Ole Martin Kristiansen      5 NOR
Kristján Jón Haraldsson     5 ISL
Mika Törrö                  5 FIN
Kim Ujarak Lorentzen        5 DNK [GRL]
Dennis Kohlruss             5 DEU
Manfred Höberl              4 AUT
Raffael Gordzielik          4 DEU
Jorma Ojanaho               4 FIN
Marko Varalahti             4 FIN
Gunnar Thór Gudjónsson      4 ISL
Hjalti Árnason              4 ISL
Kurt Kvikstad               4 NOR
Ted van der Parre           4 NLD
Zake Muluzi                 4 GBR
Eddy Ellwood                4 GBR
Fraser Tranter              4 GBR
Robert Weir                 4 GBR
Jean-Luc Moalli             4 FRA
Gustavo Pujadas             4 ESP
Martin Forsmark             4 SWE
Andreas Ståhlberg           4 SWE
Jörgen Ljungberg            4 SWE
Torben Sørensen             4 DNK
Jaromír Němec               4 CZE
Robert Szczepański          4 POL
Benedikt Magnússon          3 ISL
Henrik Ravn                 2 DNK
José Hervás                 2 ESP
Jean-Marc Tocaven           2 FRA
Stuart Murray               2 GBR
Shane Flowers               2 GBR
Sigfús Fossdal              1 ISL
Alexander Matveev           1 RUS
