Žydrūnas Savickas           37 LTU
Magnus Samuelsson           30 SWE
Hafthór Júlíus Björnsson    28 ISL
Terry Hollands              23 GBR
Mariusz Pudzianowski        22 POL
Mark Felix                  17 GBR
Janne Virtanen              17 FIN
Eddie Hall                  16 GBR
Laurence Shahlaei           14 GBR
Svend Karlsen               13 NOR
Raimonds Bergmanis          13 LVA
Jarosław Dymek              13 POL
Tom Stoltman                11 GBR
Oleksii Novikov             11 UKR
Mateusz Kieliszkowski       11 POL
Vytautas Lalas              10 LTU
Vasyl Virastyuk             9 UKR
Adam Bishop                 9 GBR
Riku Kiri                   8 FIN
Sebastian Wenta             8 POL
Konstantine Janashia        7 GEO
Jouko Ahola                 7 FIN
Johannes Årsjö              7 SWE
Luke Stoltman               7 GBR
Ervin Katona                7 SRB
Tarmo Mitt                  7 EST
Martin Muhr                 7 DEU
Magnús Ver Magnússon        6 ISL
Berend Veneberg             6 NLD
Flemming Rasmussen          6 DNK
Krzysztof Radzikowski       6 POL
Martin Wildauer             5 AUT
Heinz Ollesch               5 DEU
Mikhail Shivlyakov          5 RUS
Rene Minkwitz               5 DNK
Glenn Ross                  5 GBR
Rob Dixon                   5 GBR
Forbes Cowan                5 GBR
Sławomir Toczek             4 POL
Pavlo Kordiyaka             4 UKR
Jimmy Marku                 4 GBR
Graham Hicks                4 GBR
Eythór Ingólfsson Melsted   4 ISL
Stefán Sölvi Pétursson      4 ISL
Torfi Ólafsson              4 ISL
Aivars Šmaukstelis          4 LVA
Matjaž Belšak               4 SVN
Ralf Ber                    4 AUT
Manfred Höberl              3 AUT
Grzegorz Szymański          3 POL
Boris Haraldsson            3 ISL
Brian Turner                3 GBR
Wout Zijlstra               3 NLD
Mikhail Koklyaev            3 RUS
Raivis Vidzis               3 LVA
László Fekete               2 HUN
Dainis Zageris              2 LVA
Elbrus Nigmatullin          2 RUS
Gary Taylor                 2 GBR
Adrian Rollinson            2 GBR
Andrew Raynes               2 GBR
Luke Richardson             2 GBR
Jamie Barr                  2 GBR
Peter Baltus                2 NLD
Stoyan Todorchev            2 BGR
Johnny Hansson              2 SWE
Arild Haugen                2 NOR 
Richard Skog                2 NOR
Marko Varalahti             2 FIN
Juha-Matti Räsänen          2 FIN
Tomi Lotta                  2 FIN
Mikkel Leicht               2 DNK
Regin Vágadal               2 DNK [FRO]
Andrus Murumets             2 EST
Bernd Kerschbaumer          1 AUT
Lauri Nämi                  1 EST
Rauno Heinla                1 EST
Stasys Mėčius               1 LTU
Mykhailo Starov             1 UKR
Torben Sørensen             1 DNK
Jorma Ojanaho               1 FIN
Ari Gunnarsson              1 ISL
Jón Valgeir Williams        1 ISL
Bjørn Andre Solvang         1 NOR
Espen Aune                  1 NOR
Torbjörn Samuelsson         1 SWE
Dimitar Savatinov           1 BGR
Jarno Hams                  1 NLD
Kelvin de Ruiter            1 NLD
Ted van der Parre           1 NLD
Marc Iliffe                 1 GBR
Gavin Bilton                1 GBR
Darren Sadler               1 GBR
Mick Gosling                1 GBR
Oliver Thompson             1 GBR
Richard Gosling             1 GBR
Jack McIntosh               1 GBR
Lloyd Renals                1 GBR
Bill Pittuck                1 GBR
Lee Bowers                  1 GBR
Russ Bradley                1 GBR
Gregor Edmunds              1 GBR
James Fennelly              1 IRL
