Žydrūnas Savickas           530,50 LTU
Mariusz Pudzianowski        496,00 POL
Geoff Capes                 425,50 GBR
Magnus Samuelsson           416,50 SWE
Hafthór Júlíus Björnsson    416,00 ISL
Terry Hollands              383,00 GBR
Jón Páll Sigmarsson         365,00 ISL
Magnús Ver Magnússon        340,50 ISL
Svend Karlsen               269,00 NOR
Tom Stoltman                221,50 GBR
Janne Virtanen              199,00 FIN
Jouko Ahola                 188,00 FIN
Ab Wolders                  180,00 NLD
Gary Taylor                 178,50 GBR
Raimonds Bergmanis          176,00 LVA
Eddie Hall                  171,50 GBR
Riku Kiri                   165,50 FIN
Jamie Reeves                164,00 GBR
Jarosław Dymek              159,00 POL
Lars Hedlund                158,50 SWE
Ilkka Nummisto              154,50 FIN
Mateusz Kieliszkowski       139,50 POL
Flemming Rasmussen          135,00 DNK
Oleksii Novikov             131,00 UKR
Sebastian Wenta             128,50 POL
Henning Thorsen             123,50 DNK
Konstantine Janashia        123,50 GEO
Laurence Shahlaei           115,00 GBR
Manfred Höberl              113,50 AUT
Vytautas Lalas              108,00 LTU
Ted van der Parre           105,50 NLD
Luke Stoltman               104,00 GBR
Tarmo Mitt                  102,50 EST
László Fekete               97,00 HUN
Torfi Ólafsson              94,00 ISL
Wout Zijlstra               90,50 NLD
Heinz Ollesch               89,50 DEU
Vasyl Virastyuk             80,00 UKR
Martin Muhr                 80,00 DEU
Adam Bishop                 76,00 GBR
Berend Veneberg             76,00 NLD
Forbes Cowan                70,50 GBR
Jean-Pierre Brulois         66,50 FRA
Juha-Matti Räsänen          64,00 FIN
Stago Piczko                59,00 NLD
Stefán Sölvi Pétursson      55,50 ISL
Rudolf Küster               54,00 DEU
Mark Felix                  51,00 GBR
Regin Vágadal               50,00 DNK [FRO]
Marko Varalahti             48,50 FIN
Matjaž Belšak               48,50 SVN
Mikhail Koklyaev            48,00 RUS
Siem Wulfse                 47,00 NLD
Cees de Vreugd              45,50 NLD
Ervin Katona                42,00 SRB
Gerard du Prie              35,50 NLD
Johannes Årsjö              35,50 SWE
Eythór Ingólfsson Melsted   33,50 ISL
Ralf Ber                    33,50 AUT
Adrian Smith                33,50 GBR
Jorma Ojanaho               32,50 FIN
Krzysztof Radzikowski       32,50 POL
Pavlo Kordiyaka             31,50 UKR
Elbrus Nigmatullin          30,00 RUS
Aivars Šmaukstelis          28,50 LVA
Tjalling van den Bosch      28,50 NLD
Roger Ekström               28,50 FIN
Gregor Edmunds              27,50 GBR
Arild Haugen                26,00 NOR
Raivis Vidzis               26,00 LVA
Markku Suonenvirta          25,50 FIN
Grzegorz Szymański          25,50 POL
Aap Uspenski                25,50 EST
Franco Columbu              23,25 ITA
Henrik Ravn                 23,00 DNK
Luke Richardson             22,50 GBR
Jamie Barr                  22,50 GBR
Dimitar Savatinov           22,00 BGR
Martin Wildauer             22,00 AUT
Klaus Wallas                22,00 AUT
Yngve Gustavsson            21,50 SWE
Sławomir Toczek             20,50 POL
Ilkka Kinnunen              19,00 FIN
Andrew Raynes               18,50 GBR
Mikhail Shivlyakov          13,00 RUS
Ivan Putski                 5,40 POL
Rob Dixon                   5,00 GBR
Bill Anderson               1,33 GBR
Graham Hicks                1,00 GBR
Rene Minkwitz               1,00 DNK
