Mariusz Pudzianowski        5 POL
Žydrūnas Savickas           4 LTU
Jón Páll Sigmarsson         4 ISL
Magnús Ver Magnússon        4 ISL
Tom Stoltman                3 GBR
Geoff Capes                 2 GBR
Jouko Ahola                 2 FIN
Oleksii Novikov             1 UKR
Vasyl Virastyuk             1 UKR
Janne Virtanen              1 FIN
Svend Karlsen               1 NOR
Magnus Samuelsson           1 SWE
Ted van der Parre           1 NLD
Eddie Hall                  1 GBR
Gary Taylor                 1 GBR
Jamie Reeves                1 GBR
Hafthór Júlíus Björnsson    1 ISL
