Žydrūnas Savickas           6 LTU
Hafthór Júlíus Björnsson    3 ISL
Magnús Ver Magnússon        2 ISL
Jón Páll Sigmarsson         2 ISL
Geoff Capes                 2 GBR
Tom Stoltman                2 GBR
Ab Wolders                  2 NLD
Lars hedlund                2 SWE
Mariusz Pudzianowski        2 POL
Mateusz Kieliszkowski       2 POL
Sebastian Wenta             1 POL
Vytautas Lalas              1 LTU
Flemming Rasmussen          1 DNK
Henning Thorsen             1 DNK
Jouko Ahola                 1 FIN
Janne Virtanen              1 FIN
Riku Kiri                   1 FIN
Svend Karlsen               1 NOR
Magnus Samuelsson           1 SWE
Manfred Höberl              1 AUT
