Hafthór Júlíus Björnsson    4 ISL
Jón Páll Sigmarsson         3 ISL
Magnus Samuelsson           3 SWE
Geoff Capes                 2 GBR
Jamie Reeves                2 GBR
Terry Hollands              2 GBR
Riku Kiri                   2 FIN
Oleksii Novikov             2 UKR
Raimonds Bergmanis          1 LVA
Vasyl Virastyuk             1 UKR
Janne Virtanen              1 FIN
Ilkka Nummisto              1 FIN
Marko Varalahti             1 FIN
Svend Karlsen               1 NOR
Lars hedlund                1 SWE
Eddie Hall                  1 GBR
Gary Taylor                 1 GBR
Ab Wolders                  1 NLD
Wout Zijlstra               1 NLD
Cees de Vreugd              1 NLD
Siem Wulfse                 1 NLD
Mikhail Koklyaev            1 RUS
