Žydrūnas Savickas           9 LTU
Hafthór Júlíus Björnsson    8 ISL
Mariusz Pudzianowski        7 POL
Magnus Samuelsson           5 SWE
Svend Karlsen               5 NOR
Janne Virtanen              4 FIN
Terry Hollands              4 GBR
Konstantine Janashia        3 GEO
Tarmo Mitt                  3 EST
Raimonds Bergmanis          3 LVA
Vytautas Lalas              3 LTU
Riku Kiri                   3 FIN
Oleksii Novikov             3 UKR
Eddie Hall                  2 GBR
Berend Veneberg             2 NLD
Magnús Ver Magnússon        2 ISL
Jouko Ahola                 2 FIN
Flemming Rasmussen          2 DNK
Mateusz Kieliszkowski       2 POL
Mark Felix                  2 GBR
Tom Stoltman                2 GBR
Forbes Cowan                1 GBR
Luke Stoltman               1 GBR
Gary Taylor                 1 GBR
Sebastian Wenta             1 POL
Jarosław Dymek              1 POL
Mikhail Koklyaev            1 RUS
Vasyl Virastyuk             1 UKR
Pavlo Kordiyaka             1 UKR
Regin Vágadal               1 DNK
Marko Varalahti             1 FIN
Juha-Matti Räsänen          1 FIN
Torfi Ólafsson              1 ISL
Wout Zijlstra               1 NLD
Laurence Shahlaei           1 GBR
Ervin Katona                1 SRB
Manfred Höberl              1 AUT
Ralf Ber                    1 AUT
