Brian Shaw          11 (3xF, 8xG)
Bill Kazmaier       3 (3xF)
Mike Jenkins        2 (1xF, 1xG)
Phil Pfister        2 (2xG)
Jesse Marunde       2 (2xG)
Johnny Perry        2 (2xG)
Derek Poundstone    2 (2xG)
Bruce Wilhelm       1 (1xF)
Jon Kolb            1 (1xF)
O.D. Wilson         1 (1xF)
Bryan Benzel        1 (1xG)
Jerry Pritchett     1 (1xG)
Nick Best           1 (1xG)
Rob Kearney         1 (1xG)
Travis Ortmayer     1 (1xG)
Mark Philippi       1 (1xG)
Jason Bergmann      1 (1xG)
Dave Ostlund        1 (1xG)
Trey Mitchell       1 (1xG)
Tommy Ingalsbe      1 (1xG)
Martins Licis       1 (1xG)
