Steve Kirit         0,00 (2004)
Jerry Blackwell     0,00 (1979)
Jack Wright         0,00 (1978)
Bobby Thompson      1,00 (2024)
Jesse Marunde       2,00 (2003)
Dave Johns          2,00 (1979)
John Matuszak       4,00 (1978)
Steve Pulcinella    4,00 (1994)
Curtis Leffler      4,00 (1995)
Nick Best           4,00 (2020)
Ralph Williams      4,50 (1998) 
Joe Dube            5,00 (1979)
Terry Brennan       5,00 (1998)
Travis Ortmayer     6,00 (2011)
Phil Martin         7,00 (1996)
Ken Brown           7,00 (1998)
Bryan Neese         7,00 (1999)
Robert Oberst       7,00 (2016)
George Frenn        10,00 (1977)
Rob Kearney         10,00 (2018)
Trey Mitchell       10,00 (2020)
Spenser Remick      10,50 (2023)
Jon Lane            10,50 (2016)
Kevin Nee           11,00 (2009)
Brian Siders        11,50 (2008)
Bryan Oldfield      12,00 (1978)
Jason Bergmann      12,50 (2007)
Marshall White      12,50 (2009)
Mike Caruso         12,50 (2015)
Kevin Faires        12,50 (2019)
Evan Singleton      13,00 (2020, 2021)
Bryan Benzel        13,50 (2017)
Derek DeVaughan     13,50 (2017)
Rick Brown          14,00 (1986)
Steve Carradine     14,00 (2016)
Karl Gillingham     14,50 (2007)
Cleve Dean          15,00 (1979)
Jerry Pritchett     15,00 (2021)
Nathan Goltry       16,50 (2024)
Johnny Perry        16,50 (2001)
Gus Rethwisch       16,73 (1978)
Niko Noga           17,00 (1999)
Brian Schoonveld    17,00 (2001)
Josh Thigpen        17,00 (2006)
Thomas Evans        17,00 (2024)
Marcus Crowder      17,50 (2024)
Adam Derks          17,50 (2018)
Mark Philippi       18,00 (2001, 2005)
Mike Dayton         19,25 (1977)
Dave Ostlund        20,50 (2006)
Brian Shaw          21,00 (2008)
Jon Cole            21,50 (1997)
Whit Baskin         22,00 (2000)
Don Pope            22,00 (2003)
Bob Young           22,33 (1979)
Jon Kolb            23,40 (1978)
Doyle Kenady        24,00 (1983)
Mike Burke          24,00 (2012)
Harold Collins      24,50 (1993)
Phil Pfister        24,50 (2003)
James Perry         25,00 (1992)
Lou Ferrigno        27,50 (1977)
Don Reinhoudt       27,50 (1980)
Derek Poundstone    27,50 (2012)
O.D. Wilson         30,50 (1991)
John Gamble         33,50 (1983)
Ken Patera          34,00 (1977)
Dave Waddington     34,00 (1984)
Ross Browner        35,00 (1982)
George Hechter      36,00 (1985)
Jim Hough           36,50 (1982)
Billy Graham        37,00 (1980)
Bill Kazmaier       40,00 (1989)
Bill Dunn           40,50 (1982)
Larry Kidney        44,50 (1980)
Jerry Hannan        45,50 (1980)
James Voronin       46,50 (1997)
Joe Zelezniak       48,00 (1981)
Mike Jenkins        56,00 (2011)
Martins Licis       57,50 (2017)
Durwin Piper        58,00 (1981)
Keith Bishop        61,50 (1981)
Craig Wolfley       63,00 (1981)
Bruce Wilhelm       63,25 (1977)
Ernie Hackett       63,50 (1982)
Curt Marsh          64,00 (1982)
Gary Mitchell       64,50 (1997)
Kevin Toth          68,00 (1997)
Tommy Ingalsbe      83,50 (1997)
